text,label
nothing makes monday  s better than monday night football,1
i find it disturbing that my account was suspended because i followed to many people in a short amount of time   like come on twitter,1
no words can describe how proud i am of ethan for getting a job as a salesman for vern eide   kid works hard as hell   httpurl,1
nanny asks   there has been a death in the nanny family i work for so i have been working many more hours but     httpurl,1
review   new comedy   rx   explores symptoms and cures for workplace       wfpl   depression treatments   httpurl,1
rt      sing with us   no matter where you are     ashton irwin,1
kirsten is so   pretty and i knew this going in but wow,0
i will pray for your safety and success   be careful,0
can the  cure the flu   we  re gonna find out in about 8 minutes,1
silence cost much more than speaking up httpurl,1
i do n t believe you,1
truly so awful  worried_face  httpurl,1
do you relive traumatic events that have happened to you   counseling can help    httpurl,1
rt    beautiful  see no evil_monkey  httpurl,1
wcui subsidiary cns wellness enters into a partnership with nationally renowned substance treatment facility   dep     httpurl,1
i  m so bad with directions   i still fail at trying to find this hair salon   what the heck,0
why   rg3 just be smart and make sure you  re 1000   before you return   ca n t afford anymore injuries big dog goodluck,1
you  ve always said it       what a lair       i have the you tube to prove you are lying          httpurl,0
we spend too much time dwelling on the shit that we can t change and not enough time focusing on what we can,1
the amounts added are considerably safe to drink i think   the us uses the same chemicals and pipe materials so,0
she talk   usethesetipstoovercomeyourmelancholy   httpurl,1
rt    depends   if 400 and broken   dysfunctional   better opt for 500   httpurl,0
i just wanted to to get a general feel for the characters tbh,0
yes   i approve of this,1
i really need to get out of the comforts of my warm bed and go last minute xmas shopping    pensive_face,0
screening  for  during physical exams   httpurl,1
found this in my grandma  s office   okay   httpurl,1
one song thousands memories yong ourfourthluckysun,0
not sleepy,1
i  m excited for some girl time i need this,1
chris matthews just read law regarding nepotism   trump can t have a relative working for him   from son all     httpurl,0
happiness is a choice wearepayting foryong,0
sure   from the nipples down he  s a ight   but does n t exactly do it for me   i  m more into the barrel chested lumberjack look,1
i just wanna state it straight out i couldnt care if i had no one paying attention i  d still say wat i wanna say,1
i hope if i have gay kids my subtle homophobia does n t put them off me,0
photoset   httpurl,1
i  ve ate so shit all day tomorrow i  m seriously not eating a single bad thing lol,1
rt    we can t afford to give up we gotta make our own luck httpurl,1
i fucking despise life  worried_face,1
how does maintaining good fitness help you emotionally    httpurl,1
boy   i wish there was a way we could control these mosquito borne viruses       kill the bats,1
hangover was not worth it man   never drank since,1
i hate this house i live in  confounded_face,1
not that far   but traffic makes it seem far   i use to drive 75 miles rnd trip   it was faster   it was opposite la traffic    face_with_rolling_eyes,0
trisha paytas fat is not ok httpurl via,1
and header,1
user   craig plahn httpurl,0
user   excavation 11 httpurl,0
i am guessing you are doing the consortium tweets today,1
rt    you will be missed    such an honorable gentleman that has led and served our country   just in awe of his humility and,0
lol wtf    face_with_tears_of_joy  httpurl,1
rt    i wanna cut   i wanna cut   i wanna cut   i wanna cut   i wanna cut   i wanna cut   i wanna cut   i wanna cut   i wanna cut,1
thats toxic to animals,1
do you suck dicks     mhm httpurl,1
rt    if a boy ever tells you he  s too big for a condom   please send him this httpurl,1
oh n lest we forget red koolaid,1
user   helionne httpurl,0
plymouth airport taxi mn httpurl,0
knoxville moving comapnies httpurl,0
i look forward to your    sir,0
rt     thank you wearepayting foryong,0
despite how open   peaceful and loving you attempt to be   people can only meet you   as deeply as     httpurl,1
the  has left dallas   air force one is in the air    httpurl,1
robert corcoran is now following me on twitter   thank you robert corcoran   say hello anyti     httpurl httpurl,0
rt    imagine thinking anyone on young justice is straight,0
they should n t be pictured together     daylight   dark     honest   truthful   vs dark   evil,0
rt    please let romo make a typical 4th quarter fuck up  folded_hands,1
i  m so excited with the possibilities in making a lightsaber   like   can i engrave the hilt with az   far   fir or something    smiling_face_with_heart eyes,0
happy new year,0
